Cod_Pais;Nome_Pais;Idioma_Pais
ABW;Aruba;Neerlandês e Papiamento
AFG;Afeganistão;Dari e Pashtu
AGO;Angola;Português
AIA;Anguilla;Inglês
ALA;Aland, Ilhas;Sueco
ALB;Albânia;Albanês
AND;Andorra;Catalão
ANT;Antilhas Holandesas;Papiamento, Neerlandês e Inglês
ARE;Emirados Árabes Unidos;Árabe
ARG;Argentina;Espanhol
ARM;Armênia;Armênio
ASM;Samoa Americana;Inglês
ATA;Antártida;NULL
ATF;Terras Austrais e Antárticas Francesas (TAAF);Francês
ATG;Antigua e Barbuda;Inglês
AUS;Austrália;Inglês
AUT;Áustria;Alemão
AZE;Azerbeijão;Azeri
BDI;Burundi;Francês
BEL;Bélgica;Neerlandês, Francês e Alemão
BEN;Benin;Francês
BFA;Burkina Faso;Francês
BGD;Bangladesh;Bengali
BGR;Bulgária;Búlgaro
BHR;Bahrein;Árabe e Inglês
BHS;Bahamas;Inglês
BIH;Bósnia-Herzegovina;Bósnio, Croata e Sérvio
BLR;Bielo-Rússia;Russo
BLZ;Belize;Inglês
BMU;Bermudas;Inglês
BOL;Bolívia;Espanhol
BRA;Brasil;Português
BRB;Barbados;Inglês
BRN;Brunei;Malaio
BTN;Butão;Dzonka
BVT;Bouvet, Ilha;NULL
BWA;Botswana;Inglês
CAF;Centro-africana, República;Francês e Sangho
CAN;Canadá;Inglês e Francês
CCK;Cocos, Ilhas;Inglês
CHE;Suíça;Alemão e Francês
CHL;Chile;Espanhol
CHN;China;Chinês
CIV;Costa do Marfim;Francês
CMR;Camarões;Inglês e Francês
COD;Congo, República Democrática do (antigo Zaire);Francês
COG;Congo, República do;Francês
COK;Cook, Ilhas;Inglês e Maori
COL;Colômbia;Espanhol
COM;Comores;Árabe
CPV;Cabo Verde;Português
CRI;Costa Rica;Espanhol
CUB;Cuba;Castelhano ou Espanhol
CXR;Christmas, Ilha;Inglês, Chinês e Malaio
CYM;Cayman, Ilhas;Inglês
CYP;Chipre;Grego
CZE;Checa, República;Tcheco
DEU;Alemanha;Alemão
DJI;Djibouti;Francês
DMA;Dominica;Inglês
DNK;Dinamarca;Dinamarquês
DOM;Dominicana, República;Espanhol
DZA;Argélia;Árabe
ECU;Equador;Espanhol
EGY;Egito;Árabe
ERI;Eritreia;Amárico
ESH;Saara Ocidental;Árabe e Espanhol
ESP;Espanha;Castelhano ou Espanhol
EST;Estônia;Estônio
ETH;Etiópia;Amárico
FIN;Finlândia;Finlandês
FJI;Fiji;Inglês
FLK;Malvinas, Ilhas;Inglês
FRA;França;Francês
FRO;Faroe, Ilhas;Feroês e Dinamarquês
FSM;Micronésia, Estados Federados da;Inglês
GAB;Gabão;Francês
GBR;Reino Unido da Grã-Bretanha e Irlanda do Norte;Inglês
GEO;Geórgia;Georgiano
GGY;Guernsey;Inglês e Francês
GHA;Gana;Inglês
GIB;Gibraltar;Inglês
GIN;Guiné-Conacri;Francês
GLP;Guadalupe;Francês
GMB;Gâmbia;Inglês
GNB;Guiné-Bissau;Português
GNQ;Guiné Equatorial;Espanhol
GRC;Grécia;Grego
GRD;Granada;Inglês
GRL;Groenlândia;Groenlandês
GTM;Guatemala;Espanhol
GUF;Guiana Francesa;Francês
GUM;Guam;Inglês e Chamorro
GUY;Guiana;Inglês
HKG;Hong Kong;Chinês e Inglês
HMD;Heard e McDonald, Ilhas;NULL
HND;Honduras;Espanhol
HRV;Croácia;Croata
HTI;Haiti;Francês e Crioulo
HUN;Hungria;Húngaro
IDN;Indonésia;Bahasa
IMN;Man, Ilha de;Inglês e Manx
IND;Índia;Inglês e Hindi
IOT;Território Britânico do Oceano Índico;Inglês
IRL;Irlanda;Inglês
IRN;Irã;Persa
IRQ;Iraque;Árabe
ISL;Islândia;Inglês
ISR;Israel;Hebraico
ITA;Itália;Italiano
JAM;Jamaica;Inglês
JEY;Jérsei;Inglê, Francês e Jérriais
JOR;Jordânia;Árabe
JPN;Japão;Japonês
KAZ;Cazaquistão;Russo
KEN;Quênia;Quisvaili
KGZ;Quirguistão;Quirguiz
KHM;Cambodja;Khmer
KIR;Kiribati;Inglês
KNA;São Cristóvão e Névis;Inglês
KOR;Coréia do Sul;Coreano
KWT;Kuwait;Árabe
LAO;Laos;Lao
LBN;Líbano;Árabe
LBR;Libéria;Inglês
LBY;Líbia;Árabe
LCA;Santa Lúcia;Inglês e Francês
LIE;Liechtenstein;Alemão
LKA;Sri Lanka;Inglês
LSO;Lesoto;Inglês
LTU;Lituânia;Lituano
LUX;Luxemburgo;Francês
LVA;Letônia;Letão
MAC;Macau;Chinês e Português
MAR;Marrocos;Árabe
MCO;Mônaco;Francês
MDA;Moldávia;Moldavo
MDG;Madagascar;Francês e Malgaxe
MDV;Maldivas;Divehi
MEX;México;Espanhol ou Castelhano
MHL;Marshall, Ilhas;Inglês
MKD;Macedônia, República da;Macedónio
MLI;Mali;Francês
MLT;Malta;Inglês
MMR;Myanmar (antiga Birmânia);Birmanês
MNE;Montenegro;Sérvio
MNG;Mongólia;Mongol
MNP;Marianas Setentrionais;Inglês, Chamorro, Carolínio e Japonês
MOZ;Moçambique;Português
MRT;Mauritânia;Árabe
MSR;Montserrat;Inglês
MTQ;Martinica;Francês
MUS;Maurícia;Inglês
MWI;Malawi;Inglês
MYS;Malásia;Malaio
MYT;Maiote;Francês
NAM;Namíbia;Inglês
NCL;Nova Caledônia;Francês
NER;Níger;Francês
NFK;Norfolk, Ilha;Inglês e Norfuk
NGA;Nigéria;Inglês
NIC;Nicarágua;Espanhol
NIU;Niue;Niueano e Inglês
NLD;Países Baixos (Holanda);Neerlandês
NOR;Noruega;Norueguês
NPL;Nepal;Nepalês
NRU;Nauru;Nauruano
NZL;Nova Zelândia;Inglês
OMN;Omã;Árabe
PAK;Paquistão;Pumjabi
PAN;Panamá;Espanhol
PCN;Pitcairn, Ilhas;Inglês
PER;Peru;Espanhol
PHL;Filipinas;Inglês
PLW;Palau;Inglês
PNG;Papua-Nova Guiné;Inglês
POL;Polônia;Polonês
PRI;Porto Rico;Inglês
